"Term,Field,Related_Term,Related_Field,Definition,Category,Notes",Term,Field,Definition,Category,Related_Term,Related_Field,Notes
,Difference-In-Differences (Did),Economics,A method comparing changes over time between treatment and control groups to estimate causal effect.,Causality / Interventions,Intervention Analysis,Computer Science,
,Difference-In-Differences (Did),Economics,A method comparing changes over time between treatment and control groups to estimate causal effect.,Causality / Interventions,Pre-Post Comparison,Health Science,
,Discriminant Analysis,Health Science,A statistical method for classifying observations into groups.,Methods / Models,Classification,Computer Science,
,Distribution,All,A function describing the probabilities of different values of a random variable.,Probability / Distributions,Density Function,Computer Science/Economics,
,Disturbance,Economics,The part of a model’s dependent variable not explained by regressors; residual.,Error / Noise,Noise,Computer Science,
,Disturbance,Economics,The part of a model’s dependent variable not explained by regressors; residual.,Error / Noise,Random Error,Health Science,
,Dummy Variable,Health Science / Economicsomics,A binary variable representing categories of a categorical variable.,Dimensionality Reduction / Feature Engineering,One-Hot Encoding,Computer Science,
,Effect Estimate,Health Science,The estimated change in the outcome associated with a one-unit change in a predictor.,Model Component,Coefficient,All,
,Effect Estimate,Health Science,The estimated change in the outcome associated with a one-unit change in a predictor.,Model Component,Weight,Computer Science,
,Effect Modification,Health Science,When the magnitude or direction of an effect differs across levels of a third variable.,Causality / Effect Modification,Interaction Effect,Computer Science/Economics,
,Endogeneity,Economics,"When an explanatory variable correlates with the error term, biasing causal estimates.",Causality / Confounding,Confounding Variable,Health Science,
,Endogeneity,Economics,"When an explanatory variable correlates with the error term, biasing causal estimates.",Causality / Confounding,Spurious Correlation,Computer Science,
,Endogenous Variable,Economics,A variable whose value is determined within the system being modeled.,Output Variable,Dependent Variable,All,
,Endogenous Variable,Economics,A variable whose value is determined within the system being modeled.,Output Variable,Target,Computer Science,
,Endpoint,Health Science,The primary outcome used to evaluate an intervention or exposure.,Output Variable,Dependent Variable,All,
,Endpoint,Health Science,The primary outcome used to evaluate an intervention or exposure.,Output Variable,Target,Computer Science,
,Error Term,All,A model component representing unexplained variability or noise.,Error / Noise,Residuals,All,
,Explained Variable,Economics,The variable in a regression model that is being modeled or predicted.,Output Variable,Dependent Variable,All,
,Explained Variable,Economics,The variable in a regression model that is being modeled or predicted.,Output Variable,Target,Computer Science,
,Explanatory Variable,Economics,A variable thought to explain variation in the dependent variable.,Input Variable,Feature,Computer Science,
,Explanatory Variable,Economics,A variable thought to explain variation in the dependent variable.,Input Variable,Predictor,Health Science,
,Exposure,Health Science,A variable representing a factor or condition to which individuals are subjected.,Input Variable,Feature,Computer Science,
,Exposure,Health Science,A variable representing a factor or condition to which individuals are subjected.,Input Variable,Regressor,Economics,
,External Validity,Health Science,The extent to which study results generalize to other populations or settings.,Population / Sample,Generalization,All,
,Feature,Computer Science,A measurable property or characteristic of an observation used by a model.,Input Variable,Predictor,Health Science,
,Feature,Computer Science,A measurable property or characteristic of an observation used by a model.,Input Variable,Regressor,Economics,
,Feature Engineering,Computer Science,The process of creating new input features from raw data to improve model performance.,Dimensionality Reduction / Feature Engineering,Predictor Creation,Health Science,
,Feature Engineering,Computer Science,The process of creating new input features from raw data to improve model performance.,Dimensionality Reduction / Feature Engineering,Variable Transformation,Economics,
,Feature Selection,Computer Science,Methods to select the most relevant variables to improve model performance.,Overfitting / Model Selection,Model Specification,Economics,
,Feature Selection,Computer Science,Methods to select the most relevant variables to improve model performance.,Overfitting / Model Selection,Stepwise Selection,Health Science,
,Follow-Up Data,Health Science,Data collected at multiple points to track changes over time.,Longitudinal / Time Series,Time Series Data,Computer Science/Economics,
,Forward Selection,Health Science,Adding predictors one at a time to a model based on improvement in fit.,Overfitting / Model Selection,Feature Selection,Computer Science,
,Forward Selection,Health Science,Adding predictors one at a time to a model based on improvement in fit.,Overfitting / Model Selection,Model Specification,Economics,
,Generalization,All,The ability of a model or study findings to apply beyond the observed data.,Population / Sample,External Validity,Health Science,
,Generalization,All,The ability of a model or study findings to apply beyond the observed data.,Population / Sample,Out-Of-Sample Performance,Computer Science,
,Glm (Generalized Linear Model),Health Science,A flexible regression framework allowing different distributions and link functions.,Methods / Models,Linear Regression,All,
,Glm (Generalized Linear Model),Health Science,A flexible regression framework allowing different distributions and link functions.,Methods / Models,Logistic Regression,All,
,Heckman Correction,Economics,A statistical method to correct for sample selection bias in regression.,Missing Data,Imputation,All,
,Heterogeneous Treatment Effect,Health Science / Economicsomics,Variation in causal effect across subgroups or contexts.,Causality / Effect Modification,Effect Modification,Health Science,
,Heterogeneous Treatment Effect,Health Science / Economicsomics,Variation in causal effect across subgroups or contexts.,Causality / Effect Modification,Interaction Effect,Computer Science,
,High Variance,Computer Science,When a model is sensitive to small fluctuations in the training data.,Overfitting / Model Selection,Overfitting,All,
,Hold-Out Sample,Health Science,A portion of the data reserved for evaluating model performance.,Model Evaluation,Test Set,Computer Science,
,Hold-Out Sample,Health Science,A portion of the data reserved for evaluating model performance.,Model Evaluation,Validation Sample,Economics,
,Imputation,Health Science / Computer Science / Econ,Methods used to replace missing values with estimated or predicted values.,Missing Data,Missing Data,All,
,Independent Variable,All,A variable assumed to influence or explain the outcome variable.,Input Variable,Feature,Computer Science,
,Independent Variable,All,A variable assumed to influence or explain the outcome variable.,Input Variable,Predictor,Health Science,
,Independent Variable,All,A variable assumed to influence or explain the outcome variable.,Input Variable,Regressor,Economics,
,Instrument (Iv),Economics,"A variable correlated with the regressor but not with the error term, used for causal estimation.",Input Variable,Feature,Computer Science,
,Instrument (Iv),Economics,"A variable correlated with the regressor but not with the error term, used for causal estimation.",Input Variable,Predictor,Health Science,
,Instrumental Variable (Iv),Economics,A variable used to identify causal effects when a regressor is endogenous.,Causality / Interventions,Feature,Computer Science,
,Instrumental Variable (Iv),Economics,A variable used to identify causal effects when a regressor is endogenous.,Causality / Interventions,Predictor,Health Science,
,Interaction Effect,Computer Science / Economicsomics,When the combined effect of two variables differs from the sum of their individual effects.,Causality / Effect Modification,Moderation,Health Science,
,Interaction Effect,Economics / Computer Science,When the combined effect of two variables on the outcome differs from the sum of individual effects.,Causality / Interventions,Moderation,Health Science,
,Interaction Term,Computer Science / Economics,A variable representing the product of two features to capture interaction effects.,Dimensionality Reduction / Feature Engineering,Effect Modification,Health Science,
,Intercept,All,The value of the output when all input variables are zero; baseline value in linear models.,Model Component,Bias,Computer Science,
,Intervention / Treatment,Health Science / Computer Science / Econ,An action or condition applied to subjects or the system to produce a change in outcome.,Causality / Interventions,Exposure,Health Science,
,Intervention / Treatment,Health Science / Computer Science / Econ,An action or condition applied to subjects or the system to produce a change in outcome.,Causality / Interventions,Input Manipulation,Computer Science,
,Intervention / Treatment,Health Science / Computer Science / Econ,An action or condition applied to subjects or the system to produce a change in outcome.,Causality / Interventions,Policy / Shock,Economics,
,Label,Computer Science,The true value of the target variable in supervised learning.,Output Variable,Dependent Variable,All,
,Label,Computer Science,The true value of the target variable in supervised learning.,Output Variable,Outcome,Health Science,
,Likelihood,All,A function describing how likely observed data are for different parameter values.,Probability / Distributions,Probability,All,
,Linear Regression,All,A model that assumes a linear relationship between input variables and the output.,Methods / Models,Glm,Health Science,
,Linear Regression,All,A model that assumes a linear relationship between input variables and the output.,Methods / Models,Ols,Economics,
,Logistic Regression,Health Science / Computer Science / Econ,A model predicting the probability of a binary outcome.,Methods / Models,Binary Choice Models,Economics,
,Logistic Regression,Health Science / Computer Science / Econ,A model predicting the probability of a binary outcome.,Methods / Models,Glm,Health Science,
,Loss Function,Computer Science,A function that quantifies the difference between predicted and actual values; minimized during training.,Model Evaluation,Residuals,Health Science/Economics,
,Mae (Mean Absolute Error),Economics,The average absolute difference between predicted and actual values.,Model Evaluation,Loss,Computer Science,
,Mae (Mean Absolute Error),Economics,The average absolute difference between predicted and actual values.,Model Evaluation,Residual Variance,Health Science,
,Measurement Error,Health Science,Error arising from imperfect measurement of variables.,Error / Noise,Disturbance,Economics,
,Measurement Error,Health Science,Error arising from imperfect measurement of variables.,Error / Noise,Noise,Computer Science,
,Missing Data,All,Occurs when some values in a dataset are not observed; requires imputation or modeling.,Missing Data,Not A Number (Nan),Computer Science,
,Missing Data,All,Occurs when some values in a dataset are not observed; requires imputation or modeling.,Missing Data,Sample Selection,Economics,
,Mixed / Multilevel Models,Health Science / Computer Science,Models that include both fixed and random effects for nested data.,Methods / Models,Panel Data Models,Economics,
,Model Specification,Economics,Choosing which variables and functional forms to include in a model.,Overfitting / Model Selection,Feature Selection,Computer Science,
,Model Specification,Economics,Choosing which variables and functional forms to include in a model.,Overfitting / Model Selection,Stepwise Selection,Health Science,
,Moderation,Health Science,When the effect of one variable on the outcome depends on the level of another variable.,Causality / Effect Modification,Interaction,Computer Science/Economics,
,Moderation / Effect Modification,Health Science,When the effect of a predictor on an outcome depends on another variable.,Causality / Interventions,Interaction Terms,Computer Science/Economics,
,Natural Experiment,Economics,Observational study where external events create quasi-random variation in exposure.,Causality / Interventions,Intervention,Computer Science,
,Natural Experiment,Economics,Observational study where external events create quasi-random variation in exposure.,Causality / Interventions,Rct,Health Science,
,Neural Network,Computer Science,A model composed of layers of interconnected nodes simulating neurons to learn patterns.,Methods / Models,Deep Learning,Computer Science,
,Noise,Computer Science,Unpredictable variation in data that can obscure the signal.,Error / Noise,Disturbance,Economics,
,Noise,Computer Science,Unpredictable variation in data that can obscure the signal.,Error / Noise,Random Error,Health Science,
,Odds,Health Science,The ratio of the probability of an event occurring to it not occurring.,Probability / Distributions,Probability,All,
,Odds Ratio,Health Science,The odds of an event occurring in one group relative to another.,Model Component,Coefficient,All,
,Omitted Variable Bias,Economics,Bias caused by leaving out a variable that affects both predictor and outcome.,Causality / Confounding,Confounding,Health Science/Computer Science,
,One-Hot Encoding,Computer Science,Transforming categorical variables into binary features for modeling.,Dimensionality Reduction / Feature Engineering,Dummy Variables,Economics,
,One-Hot Encoding,Computer Science,Transforming categorical variables into binary features for modeling.,Dimensionality Reduction / Feature Engineering,Indicator Variables,Health Science,
,Out-Of-Sample Performance,Computer Science,The predictive accuracy of a model on data not used for training.,Population / Sample,External Validity,Health Science,
,Out-Of-Sample Performance,Computer Science,The predictive accuracy of a model on data not used for training.,Population / Sample,Generalization,All,
,Out-Of-Sample Testing,Economics,Evaluating model predictions on data not used during estimation.,Model Evaluation,Cross-Validation,All,
,Out-Of-Sample Testing,Economics,Evaluating model predictions on data not used during estimation.,Model Evaluation,Hold-Out Sample,Health Science,
,Outcome,Health Science,"The health-related event, condition, or measurement of interest.",Output Variable,Dependent Variable,All,
,Outcome,Health Science,"The health-related event, condition, or measurement of interest.",Output Variable,Target,Computer Science,
,Over-Parameterization,Economics,"Using too many parameters relative to the data, leading to poor out-of-sample performance.",Overfitting / Model Selection,High Variance,Computer Science,
,Over-Parameterization,Economics,"Using too many parameters relative to the data, leading to poor out-of-sample performance.",Overfitting / Model Selection,Overfitting,All,
,Overfitting,All,When a model fits the training data too closely and fails to generalize to new data.,Overfitting / Model Selection,High Variance,Computer Science,
,Overfitting,All,When a model fits the training data too closely and fails to generalize to new data.,Overfitting / Model Selection,Over-Parameterization,Economics,
,Panel Data,Economics,Multi-period cross-sectional data tracking the same units over time.,Longitudinal / Time Series,Cohort / Repeated Measures,Health Science,
,Panel Data,Economics,Multi-period cross-sectional data tracking the same units over time.,Longitudinal / Time Series,Time Series,Computer Science,
,Panel Data Models,Economics,"Models that analyze multi-period cross-sectional data, accounting for individual effects.",Methods / Models,Hierarchical Models,Computer Science,
,Panel Data Models,Economics,"Models that analyze multi-period cross-sectional data, accounting for individual effects.",Methods / Models,Mixed Models,Health Science,
,Parameters,All,Quantities in a model that are estimated from the data to describe relationships.,Model Component,Coefficients,All,
,Parameters,All,Quantities in a model that are estimated from the data to describe relationships.,Model Component,Weights,Computer Science,
,Poisson Regression,Health Science / Economics,A regression model for count-dependent variables.,Methods / Models,Count Models,Health Science/Economics,
,Population,All,The entire group of individuals or units that a study or model aims to represent.,Population / Sample,Sample,All,
,Ppv (Positive Predictive Value),Health Science,The proportion of positive test results that are true positives.,Model Evaluation,Precision,Computer Science,
,Precision,Computer Science,The fraction of predicted positives that are true positives.,Model Evaluation,Ppv,Health Science,
,Predictor,Health Science,A variable used to help predict an outcome of interest.,Input Variable,Feature,Computer Science,
,Predictor,Health Science,A variable used to help predict an outcome of interest.,Input Variable,Regressor,Economics,
,Probability,All,The measure of the likelihood of an event occurring.,Probability / Distributions,Likelihood,Computer Science/Economics,
,Probability,All,The measure of the likelihood of an event occurring.,Probability / Distributions,Risk,Health Science,
,Propensity Score,Health Science,"Probability of treatment assignment given covariates, used to balance groups in observational studies.",Causality / Interventions,Matching,Computer Science/Economics,
,Random Error,Health Science,Unsystematic variability in measurements that cannot be explained by the model.,Error / Noise,Disturbance,Economics,
,Random Error,Health Science,Unsystematic variability in measurements that cannot be explained by the model.,Error / Noise,Noise,Computer Science,
,Random Forest,Computer Science,An ensemble of decision trees used for classification or regression.,Methods / Models,Decision Tree,Computer Science,
,Random Forest,Computer Science,An ensemble of decision trees used for classification or regression.,Methods / Models,Ensemble Methods,Computer Science,
,Randomized Controlled Trial (Rct),Health Science,A study design that randomly assigns exposure to eliminate confounding.,Causality / Interventions,Experimental Intervention,Computer Science,
,Randomized Controlled Trial (Rct),Health Science,A study design that randomly assigns exposure to eliminate confounding.,Causality / Interventions,Natural Experiment,Economics,
,Recall,Computer Science,The fraction of actual positives that are correctly identified.,Model Evaluation,Sensitivity,Health Science,
,Regressor,Economics,An explanatory variable in a regression model.,Input Variable,Feature,Computer Science,
,Regressor,Economics,An explanatory variable in a regression model.,Input Variable,Predictor,Health Science,
,Repeated Measures,Health Science,Multiple measurements taken from the same subjects across time.,Longitudinal / Time Series,Panel Data,Economics,
,Repeated Measures,Health Science,Multiple measurements taken from the same subjects across time.,Longitudinal / Time Series,Sequence Modeling,Computer Science,
,Residual,All,The difference between the observed and predicted values for an observation.,Model Evaluation,Error Term,All,
,Residuals,All,The difference between observed and predicted values for an observation.,Error / Noise,Error Term,All,
,Response,Health Science,The observed effect or result associated with predictors.,Output Variable,Dependent Variable,All,
,Response,Health Science,The observed effect or result associated with predictors.,Output Variable,Target,Computer Science,
,Risk,Health Science,The probability of an outcome occurring in a defined population over time.,Probability / Distributions,Probability,All,
,Risk Factor,Health Science,A variable associated with an increased probability of the outcome.,Input Variable,Feature,Computer Science,
,Risk Factor,Health Science,A variable associated with an increased probability of the outcome.,Input Variable,Regressor,Economics,
,Risk Ratio,Health Science,The ratio of the probability of an outcome occurring in exposed vs unexposed groups.,Model Component,Coefficient,All,
,Rmse (Root Mean Squared Error),Economics,A measure of the average prediction error magnitude.,Model Evaluation,Loss,Computer Science,
,Rmse (Root Mean Squared Error),Economics,A measure of the average prediction error magnitude.,Model Evaluation,Residual Variance,Health Science,
,Roc Auc,Computer Science,A measure of model discrimination ability; area under the ROC curve.,Model Evaluation,Auc,Health Science,
,R²,Economics,The proportion of variance in the dependent variable explained by the model.,Model Evaluation,Accuracy,Computer Science,
,R²,Economics,The proportion of variance in the dependent variable explained by the model.,Model Evaluation,Explained Variance,Health Science,
,Sample,All,A subset of the population used for analysis or modeling.,Population / Sample,Population,All,
,Sample Selection,Economics,Bias introduced when the observed sample is not representative of the population.,Missing Data,Missing Data,All,
,Sampling Frame,Health Science,The list or method used to select the study sample from the population.,Population / Sample,Population,All,
,Sampling Frame,Health Science,The list or method used to select the study sample from the population.,Population / Sample,Sample,All,
,Sensitivity,Health Science,The ability of a test/model to correctly identify positive cases.,Model Evaluation,Recall,Computer Science,
,Sequence Modeling,Computer Science,Machine learning models designed to predict sequential data points.,Longitudinal / Time Series,Time Series,All,
,Spurious Correlation,Computer Science,A false association between variables due to a hidden factor.,Causality / Confounding,Confounding Variable,Health Science,
,Spurious Correlation,Computer Science,A false association between variables due to a hidden factor.,Causality / Confounding,Endogeneity,Economics,
,Stepwise Selection,Health Science,Sequentially adding or removing predictors based on statistical criteria.,Overfitting / Model Selection,Feature Selection,Computer Science,
,Stepwise Selection,Health Science,Sequentially adding or removing predictors based on statistical criteria.,Overfitting / Model Selection,Model Specification,Economics,
,Streaming Data,Computer Science,"Data generated continuously over time, often processed in real-time.",Longitudinal / Time Series,Time Series,All,
,Study Sample,Health Science,The actual set of participants or observations included in a study.,Population / Sample,Population,All,
,Study Sample,Health Science,The actual set of participants or observations included in a study.,Population / Sample,Sample,All,
,Support Vector Machine (Svm),Computer Science,A model that finds the optimal hyperplane separating classes in feature space.,Methods / Models,Classification,Computer Science,
,Target,Computer Science,The variable a machine learning model is trained to predict.,Output Variable,Dependent Variable,All,
,Target,Computer Science,The variable a machine learning model is trained to predict.,Output Variable,Outcome,Health Science,
,Target Population,Health Science,The group of individuals to which study results are intended to generalize.,Population / Sample,Population,All,
,Target Population,Health Science,The group of individuals to which study results are intended to generalize.,Population / Sample,Sample,All,
,Test Dataset,Computer Science,Data used to evaluate model performance outside the training set.,Population / Sample,Population,All,
,Test Dataset,Computer Science,Data used to evaluate model performance outside the training set.,Population / Sample,Sample,All,
,Test Set,Computer Science,Data used to evaluate the predictive accuracy of a trained model.,Model Evaluation,Hold-Out Sample,Health Science,
,Test Set,Computer Science,Data used to evaluate the predictive accuracy of a trained model.,Model Evaluation,Validation Sample,Economics,
,Time Series,All,"Data collected in chronological order, often for forecasting or pattern analysis.",Longitudinal / Time Series,Panel Data,Economics,
,Time Series,All,"Data collected in chronological order, often for forecasting or pattern analysis.",Longitudinal / Time Series,Sequential Data,Computer Science,
,Training Dataset,Computer Science,Data used to fit or train a model.,Population / Sample,Population,All,
,Training Dataset,Computer Science,Data used to fit or train a model.,Population / Sample,Sample,All,
,Transportability,Health Science,The ability to apply causal findings from one population to another.,Population / Sample,Generalization,All,
,Validation Dataset,Computer Science,Data used to tune model hyperparameters without affecting test set performance.,Population / Sample,Population,All,
,Validation Dataset,Computer Science,Data used to tune model hyperparameters without affecting test set performance.,Population / Sample,Sample,All,
,Validation Set,Computer Science,Data used to tune model parameters and avoid overfitting.,Model Evaluation,Hold-Out Sample,Health Science,
,Validation Set,Computer Science,Data used to tune model parameters and avoid overfitting.,Model Evaluation,Validation Sample,Economics,
,Var (Vector Autoregression),Economics,A model capturing interdependencies among multiple time series variables.,Longitudinal / Time Series,Time Series,All,
,Weight,Computer Science,A multiplier applied to an input feature in a model; learned during training.,Model Component,Coefficient,All,
,Weight,Computer Science,A multiplier applied to an input feature in a model; learned during training.,Model Component,Parameter,All,
,X Variable,Computer Science,Symbol often used to denote input variables in equations and code.,Input Variable,Predictor,Health Science,
,X Variable,Computer Science,Symbol often used to denote input variables in equations and code.,Input Variable,Regressor,Economics,
